spatial id,temporal id,Target (normal),Normal target,_Daily_Cases t-1,_Daily_Cases t,Daily_Deaths t-1,Daily_Deaths t,retail_and_recreation_percent_change_from_baseline t-1,retail_and_recreation_percent_change_from_baseline t,grocery_and_pharmacy_percent_change_from_baseline t-1,grocery_and_pharmacy_percent_change_from_baseline t,parks_percent_change_from_baseline t-1,parks_percent_change_from_baseline t,transit_stations_percent_change_from_baseline t-1,transit_stations_percent_change_from_baseline t,residential_percent_change_from_baseline_ t-1,residential_percent_change_from_baseline_ t
1,2020/11/30,119.28571428571429,119.28571428571429,5675.142857142857,6455.142857142857,78.14285714285714,92.14285714285714,-24.142857142857142,-25.285714285714285,-5.285714285714286,-4.285714285714286,-4.285714285714286,-5.142857142857143,-51.57142857142857,-52.0,11.857142857142858,12.428571428571429
1,2020/12/07,152.57142857142858,152.57142857142858,6455.142857142857,6513.571428571428,92.14285714285714,108.85714285714286,-25.285714285714285,-25.571428571428573,-4.285714285714286,-3.857142857142857,-5.142857142857143,-10.571428571428571,-52.0,-53.42857142857143,12.428571428571429,12.428571428571429
1,2020/12/14,147.42857142857142,147.42857142857142,6513.571428571428,6757.857142857143,108.85714285714286,119.57142857142857,-25.571428571428573,-24.857142857142858,-3.857142857142857,-1.2857142857142858,-10.571428571428571,-11.285714285714286,-53.42857142857143,-53.142857142857146,12.428571428571429,13.0
1,2020/12/21,144.71428571428572,144.71428571428572,6757.857142857143,6057.857142857143,119.57142857142857,113.85714285714286,-24.857142857142858,-34.714285714285715,-1.2857142857142858,-5.285714285714286,-11.285714285714286,-1.5714285714285714,-53.142857142857146,-61.42857142857143,13.0,16.857142857142858
1,2020/12/28,131.71428571428572,131.71428571428572,6057.857142857143,7417.571428571428,113.85714285714286,119.28571428571429,-34.714285714285715,-42.142857142857146,-5.285714285714286,-13.285714285714286,-1.5714285714285714,14.714285714285714,-61.42857142857143,-65.71428571428571,16.857142857142858,20.142857142857142
1,2021/01/04,102.71428571428571,102.71428571428571,7417.571428571428,8361.42857142857,119.28571428571429,152.57142857142858,-42.142857142857146,-40.142857142857146,-13.285714285714286,-11.142857142857142,14.714285714285714,3.5714285714285716,-65.71428571428571,-60.57142857142857,20.142857142857142,15.857142857142858
1,2021/01/11,71.57142857142857,71.57142857142857,8361.42857142857,6939.285714285715,152.57142857142858,147.42857142857142,-40.142857142857146,-44.0,-11.142857142857142,-17.0,3.5714285714285716,-4.571428571428571,-60.57142857142857,-62.285714285714285,15.857142857142858,15.857142857142858
1,2021/01/18,59.142857142857146,59.142857142857146,6939.285714285715,5551.428571428572,147.42857142857142,144.71428571428572,-44.0,-43.857142857142854,-17.0,-17.428571428571427,-4.571428571428571,-8.857142857142858,-62.285714285714285,-62.42857142857143,15.857142857142858,15.428571428571429
1,2021/01/25,45.0,45.0,5551.428571428572,4522.0,144.71428571428572,131.71428571428572,-43.857142857142854,-43.0,-17.428571428571427,-16.714285714285715,-8.857142857142858,-10.571428571428571,-62.42857142857143,-62.57142857142857,15.428571428571429,15.142857142857142
1,2021/02/01,34.857142857142854,34.857142857142854,4522.0,3615.1428571428573,131.71428571428572,102.71428571428571,-43.0,-42.57142857142857,-16.714285714285715,-15.428571428571429,-10.571428571428571,-6.857142857142857,-62.57142857142857,-62.285714285714285,15.142857142857142,15.142857142857142
1,2021/02/08,31.571428571428573,31.571428571428573,3615.1428571428573,3087.285714285714,102.71428571428571,71.57142857142857,-42.57142857142857,-36.42857142857143,-15.428571428571429,-10.571428571428571,-6.857142857142857,-13.714285714285714,-62.285714285714285,-61.0,15.142857142857142,14.571428571428571
1,2021/02/15,28.714285714285715,28.714285714285715,3087.285714285714,2875.0,71.57142857142857,59.142857142857146,-36.42857142857143,-35.142857142857146,-10.571428571428571,-11.857142857142858,-13.714285714285714,1.8571428571428572,-61.0,-59.857142857142854,14.571428571428571,14.714285714285714
1,2021/02/22,28.428571428571427,28.428571428571427,2875.0,2993.8571428571427,59.142857142857146,45.0,-35.142857142857146,-30.285714285714285,-11.857142857142858,-8.285714285714286,1.8571428571428572,0.7142857142857143,-59.857142857142854,-57.714285714285715,14.714285714285714,12.714285714285714
1,2021/03/01,29.285714285714285,29.285714285714285,2993.8571428571427,2929.285714285714,45.0,34.857142857142854,-30.285714285714285,-28.428571428571427,-8.285714285714286,-7.285714285714286,0.7142857142857143,6.0,-57.714285714285715,-57.0,12.714285714285714,12.857142857142858
1,2021/03/08,33.42857142857143,33.42857142857143,2929.285714285714,3199.4285714285716,34.857142857142854,31.571428571428573,-28.428571428571427,-24.142857142857142,-7.285714285714286,-5.857142857142857,6.0,18.285714285714285,-57.0,-54.42857142857143,12.857142857142858,11.714285714285714
1,2021/03/15,45.285714285714285,45.285714285714285,3199.4285714285716,3494.5714285714284,31.571428571428573,28.714285714285715,-24.142857142857142,-21.571428571428573,-5.857142857142857,-3.5714285714285716,18.285714285714285,30.714285714285715,-54.42857142857143,-52.42857142857143,11.714285714285714,11.285714285714286
1,2021/03/22,48.42857142857143,48.42857142857143,3494.5714285714284,4429.714285714285,28.714285714285715,28.428571428571427,-21.571428571428573,-21.714285714285715,-3.5714285714285716,-3.2857142857142856,30.714285714285715,24.0,-52.42857142857143,-53.285714285714285,11.285714285714286,11.571428571428571
1,2021/03/29,45.57142857142857,45.57142857142857,4429.714285714285,5534.714285714285,28.428571428571427,29.285714285714285,-21.714285714285715,-24.714285714285715,-3.2857142857142856,-2.2857142857142856,24.0,44.42857142857143,-53.285714285714285,-54.857142857142854,11.571428571428571,12.142857142857142
1,2021/04/05,44.0,44.0,5534.714285714285,8422.285714285714,29.285714285714285,33.42857142857143,-24.714285714285715,-25.714285714285715,-2.2857142857142856,-1.8571428571428572,44.42857142857143,64.71428571428571,-54.857142857142854,-54.57142857142857,12.142857142857142,12.428571428571429
1,2021/04/12,46.714285714285715,46.714285714285715,8422.285714285714,8801.0,33.42857142857143,45.285714285714285,-25.714285714285715,-29.571428571428573,-1.8571428571428572,-3.2857142857142856,64.71428571428571,47.57142857142857,-54.57142857142857,-55.57142857142857,12.428571428571429,12.714285714285714
1,2021/04/19,43.142857142857146,43.142857142857146,8801.0,8231.42857142857,45.285714285714285,48.42857142857143,-29.571428571428573,-29.571428571428573,-3.2857142857142856,-3.0,47.57142857142857,37.0,-55.57142857142857,-56.285714285714285,12.714285714285714,13.0
1,2021/04/26,,,8231.42857142857,7698.142857142857,48.42857142857143,45.57142857142857,-29.571428571428573,-26.857142857142858,-3.0,0.0,37.0,51.285714285714285,-56.285714285714285,-54.42857142857143,13.0,12.285714285714286
1,2021/05/03,,,7698.142857142857,7535.285714285715,45.57142857142857,44.0,-26.857142857142858,-24.285714285714285,0.0,4.571428571428571,51.285714285714285,56.0,-54.42857142857143,-54.142857142857146,12.285714285714286,11.571428571428571
1,2021/05/10,,,7535.285714285715,6022.428571428572,44.0,46.714285714285715,-24.285714285714285,-22.0,4.571428571428571,4.857142857142857,56.0,104.42857142857143,-54.142857142857146,-51.42857142857143,11.571428571428571,10.857142857142858
1,2021/05/17,,,6022.428571428572,4384.714285714285,46.714285714285715,43.142857142857146,-22.0,-19.571428571428573,4.857142857142857,8.428571428571429,104.42857142857143,112.14285714285714,-51.42857142857143,-52.714285714285715,10.857142857142858,10.142857142857142
